target,test_year,model,train_n,test_n,positive_rate,log_loss,brier_score,roc_auc,pr_auc
Podium,2023,M0_baseline,1085,316,0.1518987341772152,0.23040530883004454,0.06980234364747312,0.9315143034825869,0.7588411624496794
Podium,2023,M1A_asymmetric_qualifying,1085,316,0.1518987341772152,0.23556450360348818,0.07201809935498933,0.9301927860696517,0.7403813458485244
Podium,2023,M1S_symmetric_qualifying,1085,316,0.1518987341772152,0.22941562527457438,0.06922412825128096,0.931592039800995,0.7512163887817281
Podium,2023,M2A_asymmetric_gain_loss,1085,316,0.1518987341772152,0.2337212663893311,0.07122272642179346,0.9280939054726368,0.7378983519281501
Podium,2023,M2S_symmetric_gain_loss,1085,316,0.1518987341772152,0.23204801786605875,0.07066723863648683,0.9312033582089552,0.7281079000063726
Podium,2023,M3A_full_asymmetric,1085,316,0.1518987341772152,0.2354085420354221,0.07208324556449955,0.9283271144278606,0.7308641358168567
Podium,2023,M3S_full_symmetric,1085,316,0.1518987341772152,0.2269085232357997,0.06898587080460869,0.9343905472636815,0.7654026642292667
Podium,2024,M0_baseline,1401,353,0.1529745042492918,0.23605569301565138,0.07333061972409768,0.9404806143936579,0.6647032300393543
Podium,2024,M1A_asymmetric_qualifying,1401,353,0.1529745042492918,0.2300878212889962,0.06942435183560258,0.9472934472934473,0.6871090810304256
Podium,2024,M1S_symmetric_qualifying,1401,353,0.1529745042492918,0.22945063025499973,0.0699516295719846,0.9483463396506874,0.6935980581797623
Podium,2024,M2A_asymmetric_gain_loss,1401,353,0.1529745042492918,0.23193388677252386,0.06973993869026732,0.9474792518270779,0.6855308400157074
Podium,2024,M2S_symmetric_gain_loss,1401,353,0.1529745042492918,0.23025950476061094,0.07008908851882745,0.9450018580453362,0.6835557912246731
Podium,2024,M3A_full_asymmetric,1401,353,0.1529745042492918,0.2192683027856078,0.0664727910279637,0.9527437136132789,0.7196425643932866
Podium,2024,M3S_full_symmetric,1401,353,0.1529745042492918,0.23145182224400898,0.07045577984148364,0.9440109005326397,0.6803075075141599
Podium,2025,M0_baseline,1754,353,0.1529745042492918,0.20266897469232673,0.060611638721373165,0.9527437136132789,0.8145868148000016
Podium,2025,M1A_asymmetric_qualifying,1754,353,0.1529745042492918,0.1978264864163678,0.05907781298544335,0.9543540195714109,0.8133878923869552
Podium,2025,M1S_symmetric_qualifying,1754,353,0.1529745042492918,0.1999244955651111,0.060157232761508035,0.9533630620587142,0.8100425319086386
Podium,2025,M2A_asymmetric_gain_loss,1754,353,0.1529745042492918,0.19406475218243988,0.05703012128796967,0.952991452991453,0.7987684554907066
Podium,2025,M2S_symmetric_gain_loss,1754,353,0.1529745042492918,0.20054058656390383,0.060168256852822274,0.9506379288987985,0.7978297049955844
Podium,2025,M3A_full_asymmetric,1754,353,0.1529745042492918,0.20142778852226514,0.05993362516757478,0.9539204756596061,0.8191971918044835
Podium,2025,M3S_full_symmetric,1754,353,0.1529745042492918,0.20123270419770048,0.06060424294707285,0.9500805152979066,0.8052617033364632
Top10,2023,M0_baseline,1085,316,0.5063291139240507,0.47186803278107564,0.15166867468576953,0.8556490384615384,0.8366906117571162
Top10,2023,M1A_asymmetric_qualifying,1085,316,0.5063291139240507,0.47560204540955314,0.1529579159992832,0.8531650641025641,0.8300194699934499
Top10,2023,M1S_symmetric_qualifying,1085,316,0.5063291139240507,0.47280222520830506,0.15220563104708212,0.8595953525641025,0.8394643960826352
Top10,2023,M2A_asymmetric_gain_loss,1085,316,0.5063291139240507,0.46605423012090663,0.14904376697812433,0.8619791666666667,0.8548743092526839
Top10,2023,M2S_symmetric_gain_loss,1085,316,0.5063291139240507,0.46888263433324634,0.150419024731582,0.8623998397435897,0.8555741608599814
Top10,2023,M3A_full_asymmetric,1085,316,0.5063291139240507,0.4692298784308786,0.1509041162712794,0.8574919871794872,0.8344432920473741
Top10,2023,M3S_full_symmetric,1085,316,0.5063291139240507,0.4767526873995049,0.15416863719273197,0.8599358974358974,0.8466904140634602
Top10,2024,M0_baseline,1401,353,0.5070821529745042,0.40740418795285965,0.12371110272394016,0.9090412894111602,0.9030456607993343
Top10,2024,M1A_asymmetric_qualifying,1401,353,0.5070821529745042,0.39335216658746497,0.118554256574652,0.9153984460283825,0.9060722055040846
Top10,2024,M1S_symmetric_qualifying,1401,353,0.5070821529745042,0.3920567236409404,0.11688988749777797,0.9135041417838567,0.9064055323745757
Top10,2024,M2A_asymmetric_gain_loss,1401,353,0.5070821529745042,0.4087550005793091,0.1236067589792125,0.9117703717973416,0.8999509285401507
Top10,2024,M2S_symmetric_gain_loss,1401,353,0.5070821529745042,0.41225929469937433,0.12434218306166542,0.9122519745713736,0.9053258001706705
Top10,2024,M3A_full_asymmetric,1401,353,0.5070821529745042,0.3938653524750964,0.11823931656766377,0.9146278815899312,0.9077250245601846
Top10,2024,M3S_full_symmetric,1401,353,0.5070821529745042,0.393725720579316,0.11851674918576732,0.9132793938226418,0.9054632497783307
Top10,2025,M0_baseline,1754,353,0.5070821529745042,0.5277063249199554,0.17302023335550018,0.8148076799589032,0.8241485991360967
Top10,2025,M1A_asymmetric_qualifying,1754,353,0.5070821529745042,0.5268903129249441,0.17348370729230855,0.8164772362422141,0.8378844649718151
Top10,2025,M1S_symmetric_qualifying,1754,353,0.5070821529745042,0.522804663753344,0.17253624102939513,0.8198645090862391,0.8237180281008515
Top10,2025,M2A_asymmetric_gain_loss,1754,353,0.5070821529745042,0.5296060285945932,0.17498477848265828,0.8177615103062995,0.8337157013067669
Top10,2025,M2S_symmetric_gain_loss,1754,353,0.5070821529745042,0.5401211617604769,0.17707620176213723,0.8099916522185835,0.8253360927456777
Top10,2025,M3A_full_asymmetric,1754,353,0.5070821529745042,0.532250301928406,0.17384784346522414,0.8141976497784628,0.8257561309120771
Top10,2025,M3S_full_symmetric,1754,353,0.5070821529745042,0.5273242834352118,0.17391299712252653,0.815000321068516,0.84187911761511
