target,model,test_year,feature,mean_abs_shap,mean_shap,importance_rank
Podium,M2S_symmetric_gain_loss,2025,exposure_history_count,0.0033162173789162775,-0.0008049533046974675,11.0
Podium,M2S_symmetric_gain_loss,2025,DriverId,0.12115909818571242,0.0001301059694928143,6.0
Podium,M2S_symmetric_gain_loss,2025,TeamId,0.1613318850738338,-0.03194578799547399,4.0
Podium,M2S_symmetric_gain_loss,2025,location,0.016669836769840917,0.010860318026815181,9.0
Podium,M2S_symmetric_gain_loss,2025,season,0.14360549806825076,0.13997575067268458,5.0
Podium,M2S_symmetric_gain_loss,2025,net_recent_deviation,0.020476106815842617,-0.001613578164806054,8.0
Podium,M2A_asymmetric_gain_loss,2025,qualifying_position,0.8865217847177536,0.0031752570991648373,1.0
Podium,M2A_asymmetric_gain_loss,2025,driver_points_mean_last3,0.38465513096823434,0.011217549943438659,2.0
Podium,M2A_asymmetric_gain_loss,2025,team_points_mean_last3,0.18401370728632963,0.013018937787478847,3.0
Podium,M2A_asymmetric_gain_loss,2025,driver_incident_rate_last10,0.02115103219341659,0.02115103219341659,11.0
Podium,M2A_asymmetric_gain_loss,2025,driver_previous_starts,0.05118488602450703,-0.027631726926323107,7.0
Podium,M2A_asymmetric_gain_loss,2025,exposure_history_count,0.004326205473918936,1.0055065450510923e-05,12.0
Podium,M2A_asymmetric_gain_loss,2025,DriverId,0.13243215555067625,0.04605370383509658,5.0
Podium,M2A_asymmetric_gain_loss,2025,TeamId,0.12396925236513237,0.034479314719397636,6.0
Podium,M2A_asymmetric_gain_loss,2025,location,0.022563846351907065,-0.022309806221409028,10.0
Podium,M2A_asymmetric_gain_loss,2025,season,0.18198348349634536,0.18198348349634536,4.0
Podium,M2A_asymmetric_gain_loss,2025,recent_gain_exposure,0.03312616785275233,0.002337472230324587,9.0
Podium,M2A_asymmetric_gain_loss,2025,recent_loss_exposure,0.03617635011049745,-0.005136163593580881,8.0
Podium,M3S_full_symmetric,2025,qualifying_position,0.8828132307014191,0.008547407273772149,1.0
Podium,M3S_full_symmetric,2025,driver_points_mean_last3,0.35189659785271127,0.02208207229034501,2.0
Podium,M3S_full_symmetric,2025,team_points_mean_last3,0.2336964748886153,-0.019827986003123788,3.0
Podium,M3S_full_symmetric,2025,driver_incident_rate_last10,0.033532197639400595,0.033532197639400595,8.0
Podium,M3S_full_symmetric,2025,driver_previous_starts,0.06309873859967241,0.024100544803013015,7.0
Podium,M3S_full_symmetric,2025,exposure_history_count,0.0033612338638759147,0.00022999856467275935,12.0
Podium,M3S_full_symmetric,2025,DriverId,0.15648733305553744,0.05306797688022614,5.0
Podium,M3S_full_symmetric,2025,TeamId,0.20251932589892346,0.0020791638240612053,4.0
Podium,M3S_full_symmetric,2025,location,0.02900868836031384,-0.02900868836031384,9.0
Podium,M3S_full_symmetric,2025,season,0.09884952405662163,0.09853407061627843,6.0
Podium,M3S_full_symmetric,2025,qualifying_surprise,0.025525477050011278,-0.0018320424960545222,10.0
Podium,M3S_full_symmetric,2025,net_recent_deviation,0.012157650811389942,-0.0036856758495322274,11.0
Podium,M3A_full_asymmetric,2025,qualifying_position,0.8036347018499366,0.048643136388319644,1.0
Podium,M3A_full_asymmetric,2025,driver_points_mean_last3,0.3843724956244621,0.026421563000468756,2.0
Podium,M3A_full_asymmetric,2025,team_points_mean_last3,0.2734813942688874,-0.010001436231309568,3.0
Podium,M3A_full_asymmetric,2025,driver_incident_rate_last10,0.026799620641043884,0.026799620641043884,10.0
Podium,M3A_full_asymmetric,2025,driver_previous_starts,0.047103710181469624,0.006890504186078928,7.0
Podium,M3A_full_asymmetric,2025,exposure_history_count,0.006356421088708976,-0.0006090073790443232,13.0
Podium,M3A_full_asymmetric,2025,DriverId,0.11080619654061377,0.011163962089521175,5.0
Podium,M3A_full_asymmetric,2025,TeamId,0.10135765219246232,0.011670446749144517,6.0
Podium,M3A_full_asymmetric,2025,location,0.020611036056382388,-0.019330413174508416,12.0
Podium,M3A_full_asymmetric,2025,season,0.18863619724355304,0.18839833693688096,4.0
Podium,M3A_full_asymmetric,2025,positive_qualifying_surprise,0.0031477306620247233,-0.0008829709255599517,14.0
Podium,M3A_full_asymmetric,2025,negative_qualifying_surprise,0.021500041797031036,-0.002534716240083811,11.0
Podium,M3A_full_asymmetric,2025,recent_gain_exposure,0.04641736615783898,-0.0046490173769272655,9.0
Podium,M3A_full_asymmetric,2025,recent_loss_exposure,0.04664826568924339,-0.007133998641262302,8.0
