target,model,feature,mean_abs_shap,mean_shap,n,importance_share,importance_rank
Podium,M0_baseline,qualifying_position,0.8235810604918872,0.02584766210439453,1022,0.380142283228419,1.0
Podium,M0_baseline,TeamId,0.3083824205577435,0.05854926733068775,1022,0.14234081268006762,2.0
Podium,M0_baseline,driver_points_mean_last3,0.2917764651605006,0.027199497908689255,1022,0.1346759620627805,3.0
Podium,M0_baseline,season,0.2577909879949995,0.25608769099450535,1022,0.11898920394502491,4.0
Podium,M0_baseline,DriverId,0.1733190017263149,0.012537009649757432,1022,0.07999926686483178,5.0
Podium,M0_baseline,team_points_mean_last3,0.16722085665488087,0.0031563191250723877,1022,0.07718453143426161,6.0
Podium,M0_baseline,location,0.05929778659420407,-0.0565487892478047,1022,0.027370221424044418,7.0
Podium,M0_baseline,driver_previous_starts,0.04618389301740853,0.015137711640724584,1022,0.021317210147510014,8.0
Podium,M0_baseline,driver_incident_rate_last10,0.03244146731027611,0.027517894189073397,1022,0.014974085789737463,9.0
Podium,M0_baseline,exposure_history_count,0.006513436355089635,0.00028183542013067605,1022,0.003006422423322781,10.0
Podium,M1A_asymmetric_qualifying,qualifying_position,0.8057141189886481,0.021594845561166056,1022,0.37035076670069583,1.0
Podium,M1A_asymmetric_qualifying,driver_points_mean_last3,0.29950542511120554,0.02090806130909545,1022,0.13766925663433188,2.0
Podium,M1A_asymmetric_qualifying,TeamId,0.260576375143115,0.039745848802902245,1022,0.11977531241412992,3.0
Podium,M1A_asymmetric_qualifying,season,0.2567498058306041,0.2559038384848932,1022,0.11801640954111009,4.0
Podium,M1A_asymmetric_qualifying,team_points_mean_last3,0.22804169983569988,0.0022932955222728806,1022,0.1048205764097716,5.0
Podium,M1A_asymmetric_qualifying,DriverId,0.14203096276020755,0.004232674984156264,1022,0.06528528508288677,6.0
Podium,M1A_asymmetric_qualifying,driver_previous_starts,0.07145835834292037,0.023847436571239482,1022,0.0328462132855419,7.0
Podium,M1A_asymmetric_qualifying,driver_incident_rate_last10,0.039393941761620276,0.031576066265642785,1022,0.01810763419796071,8.0
Podium,M1A_asymmetric_qualifying,location,0.036779618283598214,-0.013225594620655208,1022,0.016905946550108106,9.0
Podium,M1A_asymmetric_qualifying,negative_qualifying_surprise,0.023491273502323627,-0.0007007916672258198,1022,0.010797888416404767,10.0
Podium,M1A_asymmetric_qualifying,exposure_history_count,0.006153338708329403,0.0020663935549367924,1022,0.002828414762371778,11.0
Podium,M1A_asymmetric_qualifying,positive_qualifying_surprise,0.0056483543066092245,0.0003407563174330509,1022,0.0025962960046867147,12.0
Podium,M1S_symmetric_qualifying,qualifying_position,0.8262514737943183,0.026308540528334114,1022,0.37163618766957324,1.0
Podium,M1S_symmetric_qualifying,season,0.29142967850798934,0.2913251056483762,1022,0.131080933746618,2.0
Podium,M1S_symmetric_qualifying,driver_points_mean_last3,0.2905165607700298,0.019839800546476456,1022,0.13067022634603645,3.0
Podium,M1S_symmetric_qualifying,TeamId,0.2777089885750153,0.0404876350375271,1022,0.12490956212355679,4.0
Podium,M1S_symmetric_qualifying,team_points_mean_last3,0.23262544142953945,-0.011081649176238172,1022,0.10463162239314377,5.0
Podium,M1S_symmetric_qualifying,DriverId,0.14571806751051516,0.032312772349832986,1022,0.06554191889728009,6.0
Podium,M1S_symmetric_qualifying,location,0.06048113948723141,-0.05973182822083319,1022,0.02720355826020789,7.0
Podium,M1S_symmetric_qualifying,driver_previous_starts,0.05174597498520658,0.011609343749719203,1022,0.02327460522694866,8.0
Podium,M1S_symmetric_qualifying,qualifying_surprise,0.023498456230677943,0.0004298375830765945,1022,0.010569272148570336,9.0
Podium,M1S_symmetric_qualifying,driver_incident_rate_last10,0.017467895248442958,0.01425156568325506,1022,0.007856811397783717,10.0
Podium,M1S_symmetric_qualifying,exposure_history_count,0.0058367821685415475,0.00015884738985843337,1022,0.002625301790280984,11.0
Podium,M2A_asymmetric_gain_loss,qualifying_position,0.8082485910234914,0.02275452445153147,1022,0.3735311130338097,1.0
